,TEAM_ID,ABBREVIATION,NICKNAME,CITY,LATITUDE,LONGITUDE
16,1610612755,PHI,76ers,Philadelphia,39.90123409349528,-75.17090665637734
10,1610612749,MIL,Bucks,Milwaukee,43.045205319315365,-87.91665667747223
3,1610612741,CHI,Bulls,Chicago,41.881968536545465,-87.6728455633052
28,1610612739,CLE,Cavaliers,Cleveland,41.49641849438575,-81.68857242321435
1,1610612738,BOS,Celtics,Boston,42.36610686544133,-71.06264504509178
7,1610612746,LAC,Clippers,Los Angeles,34.04276826661928,-118.26669624321944
24,1610612763,MEM,Grizzlies,Memphis,35.13775544220234,-90.05110142629135
0,1610612737,ATL,Hawks,Atlanta,33.75725092895011,-84.39619973311765
9,1610612748,MIA,Heat,Miami,25.7808987709237,-80.18623948495552
27,1610612766,CHA,Hornets,Charlotte,35.22455561049105,-80.83926239612208
23,1610612762,UTA,Jazz,Utah,40.76774773159542,-111.90147367756563
19,1610612758,SAC,Kings,Sacramento,38.58017062553036,-121.50008939400314
13,1610612752,NYK,Knicks,New York,40.75053668021922,-73.99313833210212
8,1610612747,LAL,Lakers,Los Angeles,34.04276826661928,-118.26669624321944
14,1610612753,ORL,Magic,Orlando,28.539371922106323,-81.38441144428242
4,1610612742,DAL,Mavericks,Dallas,32.789894151360954,-96.8092592302266
12,1610612751,BKN,Nets,Brooklyn,40.682646169430356,-73.9755443855573
5,1610612743,DEN,Nuggets,Denver,39.74958004618605,-105.00661578713809
15,1610612754,IND,Pacers,Indiana,39.76381215213423,-86.15605172410166
2,1610612740,NOP,Pelicans,New Orleans,29.950485009327856,-90.08072646871527
26,1610612765,DET,Pistons,Detroit,42.34072161638615,-83.0549240159282
22,1610612761,TOR,Raptors,Toronto,43.643465766008646,-79.37961392206583
6,1610612745,HOU,Rockets,Houston,29.750871888172558,-95.36167139097245
20,1610612759,SAS,Spurs,San Antonio,29.427019813868597,-98.43815188998576
17,1610612756,PHX,Suns,Phoenix,33.44605897210844,-112.07107159689456
21,1610612760,OKC,Thunder,Oklahoma City,35.463704015112775,-97.51550008012
11,1610612750,MIN,Timberwolves,Minnesota,44.979584391924476,-93.27553683777344
18,1610612757,POR,Trail Blazers,Portland,45.53140421236139,-122.66711521703822
29,1610612744,GSW,Warriors,Golden State,37.76801468162943,-122.38730084231904
25,1610612764,WAS,Wizards,Washington,38.8980001758342,-77.0211572478214
